타입,원본시퀀스길이,오류개수,실제맞춘개수,결과종류,예측시퀀스,정답시퀀스
m,30,3,14,8,8,8
m,30,3,15,7,7,7
m,30,3,16,9,9,9
m,30,3,17,10,10,10
m,30,3,18,4,4,4
m,30,3,19,6,6,6
m,30,3,20,3,3,3
m,30,3,21,5,5,5
m,30,3,22,8,8,8
m,30,3,23,6,6,6
m,30,3,24,5,5,5
m,30,3,25,12,12,12
m,30,3,26,4,4,4
m,30,3,27,8,8,8
m,30,3,28,10,10,10
m,30,3,29,21,21,21
m,30,3,30,2295,2295,2295
m,30,4,1,6,6,6
m,30,4,2,3,3,3
m,30,4,3,6,6,6
m,30,4,4,7,7,7
m,30,4,5,3,3,3
m,30,4,6,7,7,7
m,30,4,7,6,6,6
m,30,4,8,10,10,10
m,30,4,9,8,8,8
m,30,4,10,9,9,9
m,30,4,11,8,8,8
m,30,4,12,7,7,7
m,30,4,13,7,7,7
m,30,4,14,4,4,4
m,30,4,15,1,1,1
m,30,4,16,5,5,5
m,30,4,17,6,6,6
m,30,4,18,8,8,8
m,30,4,19,6,6,6
m,30,4,20,6,6,6
m,30,4,21,8,8,8
m,30,4,22,14,14,14
m,30,4,23,5,5,5
m,30,4,24,4,4,4
m,30,4,25,9,9,9
m,30,4,26,12,12,12
m,30,4,27,3,3,3
m,30,4,28,5,5,5
m,30,4,29,35,35,35
m,30,4,30,2373,2373,2373
m,30,5,1,1,1,1
m,30,5,2,3,3,3
m,30,5,3,6,6,6
m,30,5,4,5,5,5
m,30,5,5,6,6,6
m,30,5,6,4,4,4
m,30,5,7,6,6,6
m,30,5,8,16,16,16
m,30,5,9,6,6,6
m,30,5,10,6,6,6
m,30,5,11,9,9,9
m,30,5,12,4,4,4
m,30,5,13,10,10,10
m,30,5,14,6,6,6
m,30,5,15,13,13,13
m,30,5,16,10,10,10
m,30,5,17,6,6,6
m,30,5,18,7,7,7
m,30,5,19,7,7,7
m,30,5,20,9,9,9
m,30,5,21,8,8,8
m,30,5,22,7,7,7
m,30,5,23,8,8,8
m,30,5,24,2,2,2
m,30,5,25,8,8,8
m,30,5,26,5,5,5
m,30,5,27,3,3,3
m,30,5,28,12,12,12
m,30,5,29,42,42,42
m,30,5,30,2258,2258,2258
m,30,6,1,5,5,5
m,30,6,2,2,2,2
m,30,6,3,10,10,10
m,30,6,4,15,15,15
m,30,6,5,6,6,6
m,30,6,6,2,2,2
m,30,6,7,6,6,6
m,30,6,8,12,12,12
m,30,6,9,11,11,11
m,30,6,10,4,4,4
m,30,6,11,7,7,7
m,30,6,12,6,6,6
m,30,6,13,9,9,9
m,30,6,14,7,7,7
m,30,6,15,7,7,7
m,30,6,16,5,5,5
m,30,6,17,5,5,5
m,30,6,18,6,6,6
m,30,6,19,7,7,7
m,30,6,20,3,3,3
m,30,6,21,9,9,9
m,30,6,22,10,10,10
m,30,6,23,10,10,10
m,30,6,24,6,6,6
m,30,6,25,10,10,10
m,30,6,26,12,12,12
m,30,6,27,9,9,9
m,30,6,28,18,18,18
m,30,6,29,49,49,49
m,30,6,30,2219,2219,2219
m,30,7,1,3,3,3
m,30,7,2,3,3,3
m,30,7,3,7,7,7
m,30,7,4,10,10,10
m,30,7,5,6,6,6
m,30,7,6,7,7,7
m,30,7,7,4,4,4
m,30,7,8,9,9,9
m,30,7,9,7,7,7
m,30,7,10,3,3,3
m,30,7,11,7,7,7
m,30,7,12,7,7,7
m,30,7,13,9,9,9
m,30,7,14,8,8,8
m,30,7,15,8,8,8
m,30,7,16,3,3,3
m,30,7,17,3,3,3
m,30,7,18,5,5,5
m,30,7,19,5,5,5
m,30,7,20,3,3,3
m,30,7,21,8,8,8
m,30,7,22,5,5,5
m,30,7,23,4,4,4
m,30,7,24,4,4,4
m,30,7,25,7,7,7
m,30,7,26,9,9,9
m,30,7,27,10,10,10
m,30,7,28,17,17,17
m,30,7,29,67,67,67
m,30,7,30,2215,2215,2215
m,30,8,1,2,2,2
m,30,8,2,4,4,4
m,30,8,3,15,15,15
m,30,8,4,13,13,13
m,30,8,5,5,5,5
m,30,8,6,5,5,5
m,30,8,7,1,1,1
m,30,8,8,9,9,9
m,30,8,9,10,10,10
m,30,8,10,8,8,8
m,30,8,11,9,9,9
m,30,8,12,4,4,4
m,30,8,13,7,7,7
m,30,8,14,4,4,4
m,30,8,15,9,9,9
m,30,8,16,5,5,5
m,30,8,17,7,7,7
m,30,8,18,9,9,9
m,30,8,19,5,5,5
m,30,8,20,6,6,6
m,30,8,21,5,5,5
m,30,8,22,8,8,8
m,30,8,23,3,3,3
m,30,8,24,7,7,7
m,30,8,25,10,10,10
m,30,8,26,8,8,8
m,30,8,27,11,11,11
m,30,8,28,14,14,14
m,30,8,29,74,74,74
m,30,8,30,2276,2276,2276
m,30,9,1,2,2,2
m,30,9,2,5,5,5
m,30,9,3,7,7,7
m,30,9,4,8,8,8
m,30,9,5,3,3,3
m,30,9,6,4,4,4
m,30,9,7,7,7,7
m,30,9,8,7,7,7
m,30,9,9,11,11,11
m,30,9,10,3,3,3
m,30,9,11,8,8,8
m,30,9,12,13,13,13
m,30,9,13,5,5,5
m,30,9,14,9,9,9
m,30,9,15,7,7,7
m,30,9,16,5,5,5
m,30,9,17,9,9,9
m,30,9,18,7,7,7
m,30,9,19,5,5,5
m,30,9,21,3,3,3
m,30,9,22,4,4,4
m,30,9,23,7,7,7
m,30,9,24,11,11,11
m,30,9,25,14,14,14
m,30,9,26,9,9,9
m,30,9,27,14,14,14
m,30,9,28,17,17,17
m,30,9,29,69,69,69
m,30,9,30,2183,2183,2183
m,30,10,1,2,2,2
m,30,10,2,6,6,6
m,30,10,3,8,8,8
m,30,10,4,14,14,14
m,30,10,5,7,7,7
m,30,10,6,5,5,5
m,30,10,7,7,7,7
m,30,10,8,9,9,9
m,30,10,9,6,6,6
m,30,10,10,6,6,6
m,30,10,11,7,7,7
m,30,10,12,5,5,5
m,30,10,13,9,9,9
m,30,10,14,7,7,7
m,30,10,15,12,12,12
m,30,10,16,4,4,4
m,30,10,17,7,7,7
m,30,10,18,6,6,6
m,30,10,19,15,15,15
m,30,10,20,2,2,2
m,30,10,21,4,4,4
m,30,10,22,8,8,8
m,30,10,23,5,5,5
m,30,10,24,6,6,6
m,30,10,25,7,7,7
m,30,10,26,11,11,11
m,30,10,27,14,14,14
m,30,10,28,17,17,17
m,30,10,29,95,95,95
m,30,10,30,2207,2207,2207
m,30,11,1,9,9,9
m,30,11,2,4,4,4
m,30,11,3,12,12,12
m,30,11,4,18,18,18
m,30,11,5,10,10,10
m,30,11,6,5,5,5
m,30,11,7,7,7,7
m,30,11,8,6,6,6
m,30,11,9,7,7,7
m,30,11,10,4,4,4
m,30,11,11,5,5,5
m,30,11,12,6,6,6
m,30,11,13,5,5,5
m,30,11,14,10,10,10
m,30,11,15,6,6,6
m,30,11,16,11,11,11
m,30,11,17,14,14,14
m,30,11,18,3,3,3
m,30,11,19,4,4,4
m,30,11,20,10,10,10
m,30,11,21,10,10,10
m,30,11,22,5,5,5
m,30,11,23,5,5,5
m,30,11,24,5,5,5
m,30,11,25,13,13,13
m,30,11,26,10,10,10
m,30,11,27,11,11,11
m,30,11,28,16,16,16
m,30,11,29,118,118,118
m,30,11,30,2152,2152,2152
m,30,12,1,9,9,9
m,30,12,2,10,10,10
m,30,12,3,15,15,15
m,30,12,4,24,24,24
m,30,12,5,9,9,9
m,30,12,6,7,7,7
m,30,12,7,7,7,7
m,30,12,8,10,10,10
m,30,12,9,12,12,12
m,30,12,10,8,8,8
m,30,12,11,11,11,11
m,30,12,12,13,13,13
m,30,12,13,9,9,9
m,30,12,14,9,9,9
m,30,12,15,8,8,8
m,30,12,16,7,7,7
m,30,12,17,4,4,4
m,30,12,18,8,8,8
m,30,12,19,10,10,10
m,30,12,20,7,7,7
m,30,12,21,6,6,6
m,30,12,22,13,13,13
m,30,12,23,10,10,10
m,30,12,24,6,6,6
m,30,12,25,8,8,8
m,30,12,26,7,7,7
m,30,12,27,14,14,14
m,30,12,28,26,26,26
m,30,12,29,107,107,107
m,30,12,30,2149,2149,2149
m,35,0,2,5,5,5
m,35,0,3,1,1,1
m,35,0,4,10,10,10
m,35,0,5,6,6,6
m,35,0,8,5,5,5
m,35,0,9,14,14,14
m,35,0,10,5,5,5
m,35,0,11,8,8,8
m,35,0,12,6,6,6
m,35,0,13,8,8,8
m,35,0,14,5,5,5
m,35,0,15,6,6,6
m,35,0,16,12,12,12
m,35,0,17,13,13,13
m,35,0,18,3,3,3
m,35,0,19,10,10,10
m,35,0,20,4,4,4
m,35,0,21,2,2,2
m,35,0,22,10,10,10
m,35,0,23,2,2,2
m,35,0,24,7,7,7
m,35,0,25,3,3,3
m,35,0,26,6,6,6
m,35,0,27,8,8,8
m,35,0,28,10,10,10
m,35,0,29,6,6,6
m,35,0,30,7,7,7
m,35,0,31,3,3,3
m,35,0,32,13,13,13
m,35,0,33,6,6,6
m,35,0,34,7,7,7
m,35,0,35,2235,2235,2235
m,35,1,2,6,6,6
m,35,1,3,3,3,3
m,35,1,4,8,8,8
m,35,1,5,7,7,7
m,35,1,6,3,3,3
m,35,1,7,8,8,8
m,35,1,8,9,9,9
m,35,1,9,5,5,5
m,35,1,10,11,11,11
m,35,1,11,7,7,7
m,35,1,12,2,2,2
m,35,1,13,14,14,14
m,35,1,14,3,3,3
m,35,1,15,5,5,5
m,35,1,16,8,8,8
m,35,1,17,10,10,10
m,35,1,18,3,3,3
m,35,1,19,3,3,3
m,35,1,20,5,5,5
m,35,1,21,9,9,9
m,35,1,22,9,9,9
m,35,1,23,10,10,10
m,35,1,24,9,9,9
m,35,1,25,4,4,4
m,35,1,26,4,4,4
m,35,1,27,8,8,8
m,35,1,28,1,1,1
m,35,1,30,6,6,6
m,35,1,31,2,2,2
m,35,1,32,12,12,12
m,35,1,33,3,3,3
m,35,1,34,15,15,15
m,35,1,35,2234,2234,2234
m,35,2,1,2,2,2
m,35,2,2,6,6,6
m,35,2,3,1,1,1
m,35,2,4,10,10,10
m,35,2,5,8,8,8
m,35,2,6,6,6,6
m,35,2,7,5,5,5
m,35,2,8,5,5,5
m,35,2,9,13,13,13
m,35,2,10,6,6,6
m,35,2,11,6,6,6
m,35,2,12,7,7,7
m,35,2,13,6,6,6
m,35,2,14,6,6,6
m,35,2,15,4,4,4
m,35,2,16,9,9,9
m,35,2,17,7,7,7
m,35,2,18,11,11,11
m,35,2,19,4,4,4
m,35,2,20,5,5,5
m,35,2,21,7,7,7
m,35,2,22,4,4,4
m,35,2,23,7,7,7
m,35,2,24,5,5,5
m,35,2,25,5,5,5
m,35,2,26,4,4,4
m,35,2,27,7,7,7
m,35,2,28,3,3,3
m,35,2,29,6,6,6
m,35,2,30,8,8,8
m,35,2,31,8,8,8
m,35,2,32,9,9,9
m,35,2,33,4,4,4
m,35,2,34,17,17,17
m,35,2,35,2397,2397,2397
m,35,3,1,1,1,1
m,35,3,2,6,6,6
m,35,3,3,3,3,3
m,35,3,4,10,10,10
m,35,3,5,8,8,8
m,35,3,7,7,7,7
m,35,3,8,11,11,11
m,35,3,9,8,8,8
m,35,3,10,5,5,5
m,35,3,11,9,9,9
m,35,3,12,4,4,4
m,35,3,13,8,8,8
m,35,3,14,6,6,6
m,35,3,15,3,3,3
m,35,3,16,6,6,6
m,35,3,17,12,12,12
m,35,3,18,3,3,3
m,35,3,19,11,11,11
m,35,3,20,6,6,6
m,35,3,21,5,5,5
m,35,3,22,5,5,5
m,35,3,23,5,5,5
m,35,3,24,8,8,8
m,35,3,25,6,6,6
m,35,3,26,6,6,6
m,35,3,27,9,9,9
m,35,3,28,4,4,4
m,35,3,29,4,4,4
m,35,3,30,9,9,9
m,35,3,31,7,7,7
m,35,3,32,6,6,6
m,35,3,33,8,8,8
m,35,3,34,19,19,19
m,35,3,35,2232,2232,2232
m,35,4,2,1,1,1
m,35,4,3,5,5,5
m,35,4,4,15,15,15
m,35,4,5,3,3,3
m,35,4,6,1,1,1
m,35,4,7,7,7,7
m,35,4,8,13,13,13
m,35,4,9,5,5,5
m,35,4,10,12,12,12
m,35,4,11,5,5,5
m,35,4,12,7,7,7
m,35,4,13,7,7,7
m,35,4,14,9,9,9
m,35,4,15,7,7,7
m,35,4,16,10,10,10
m,35,4,17,9,9,9
m,35,4,18,7,7,7
m,35,4,19,8,8,8
m,35,4,20,5,5,5
m,35,4,21,6,6,6
m,35,4,22,11,11,11
m,35,4,23,6,6,6
m,35,4,24,7,7,7
m,35,4,25,3,3,3
m,35,4,26,1,1,1
m,35,4,27,5,5,5
m,35,4,28,2,2,2
m,35,4,29,6,6,6
m,35,4,30,7,7,7
m,35,4,31,7,7,7
m,35,4,32,11,11,11
m,35,4,33,7,7,7
m,35,4,34,32,32,32
m,35,4,35,2322,2322,2322
m,35,5,2,8,8,8
m,35,5,3,3,3,3
m,35,5,4,11,11,11
m,35,5,5,5,5,5
m,35,5,6,7,7,7
m,35,5,7,7,7,7
m,35,5,8,7,7,7
m,35,5,9,5,5,5
m,35,5,10,6,6,6
m,35,5,11,6,6,6
m,35,5,12,4,4,4
m,35,5,13,7,7,7
m,35,5,14,4,4,4
m,35,5,15,7,7,7
m,35,5,16,5,5,5
m,35,5,17,4,4,4
m,35,5,18,7,7,7
m,35,5,19,4,4,4
m,35,5,20,2,2,2
m,35,5,21,6,6,6
m,35,5,22,8,8,8
m,35,5,23,4,4,4
m,35,5,24,9,9,9
m,35,5,25,6,6,6
m,35,5,26,3,3,3
m,35,5,27,8,8,8
m,35,5,28,8,8,8
m,35,5,29,2,2,2
m,35,5,30,13,13,13
m,35,5,31,6,6,6
m,35,5,32,10,10,10
m,35,5,33,9,9,9
m,35,5,34,49,49,49
m,35,5,35,2288,2288,2288
m,35,6,1,1,1,1
m,35,6,2,5,5,5
m,35,6,3,5,5,5
m,35,6,4,7,7,7
m,35,6,5,2,2,2
m,35,6,6,1,1,1
m,35,6,7,3,3,3
m,35,6,8,8,8,8
m,35,6,9,5,5,5
m,35,6,10,7,7,7
m,35,6,11,6,6,6
m,35,6,12,3,3,3
m,35,6,13,11,11,11
m,35,6,14,9,9,9
m,35,6,15,11,11,11
m,35,6,16,9,9,9
m,35,6,17,11,11,11
m,35,6,18,4,4,4
m,35,6,19,8,8,8
m,35,6,20,5,5,5
m,35,6,21,12,12,12
m,35,6,22,5,5,5
m,35,6,23,9,9,9
m,35,6,24,6,6,6
m,35,6,25,2,2,2
m,35,6,26,4,4,4
m,35,6,27,8,8,8
m,35,6,28,6,6,6
m,35,6,29,7,7,7
m,35,6,30,7,7,7
m,35,6,31,8,8,8
m,35,6,32,9,9,9
m,35,6,33,5,5,5
m,35,6,34,42,42,42
m,35,6,35,2222,2222,2222
m,35,7,2,2,2,2
m,35,7,3,2,2,2
m,35,7,4,8,8,8
m,35,7,5,10,10,10
m,35,7,6,6,6,6
m,35,7,7,4,4,4
m,35,7,8,11,11,11
m,35,7,9,6,6,6
m,35,7,10,14,14,14
m,35,7,11,6,6,6
m,35,7,12,2,2,2
m,35,7,13,7,7,7
m,35,7,14,4,4,4
m,35,7,15,7,7,7
m,35,7,16,7,7,7
m,35,7,17,8,8,8
m,35,7,18,4,4,4
m,35,7,19,9,9,9
m,35,7,20,7,7,7
m,35,7,21,6,6,6
m,35,7,22,3,3,3
m,35,7,23,7,7,7
m,35,7,24,4,4,4
m,35,7,25,6,6,6
m,35,7,26,5,5,5
m,35,7,27,7,7,7
m,35,7,28,5,5,5
m,35,7,29,6,6,6
m,35,7,30,12,12,12
m,35,7,31,8,8,8
m,35,7,32,8,8,8
m,35,7,33,8,8,8
m,35,7,34,53,53,53
m,35,7,35,2280,2280,2280
m,35,8,1,2,2,2
m,35,8,2,5,5,5
m,35,8,3,4,4,4
m,35,8,4,11,11,11
m,35,8,5,3,3,3
m,35,8,6,4,4,4
m,35,8,7,4,4,4
m,35,8,8,11,11,11
m,35,8,9,5,5,5
m,35,8,10,7,7,7
m,35,8,11,11,11,11
m,35,8,12,9,9,9
m,35,8,13,8,8,8
m,35,8,14,4,4,4
m,35,8,15,8,8,8
m,35,8,16,7,7,7
m,35,8,17,8,8,8
m,35,8,18,7,7,7
m,35,8,19,2,2,2
m,35,8,20,4,4,4
m,35,8,21,1,1,1
m,35,8,22,8,8,8
m,35,8,23,9,9,9
m,35,8,24,6,6,6
m,35,8,25,9,9,9
m,35,8,26,8,8,8
m,35,8,27,5,5,5
m,35,8,28,7,7,7
m,35,8,29,7,7,7
m,35,8,30,10,10,10
m,35,8,31,9,9,9
m,35,8,32,14,14,14
m,35,8,33,14,14,14
m,35,8,34,52,52,52
m,35,8,35,2268,2268,2268
m,35,9,2,3,3,3
m,35,9,3,4,4,4
m,35,9,4,13,13,13
m,35,9,5,8,8,8
m,35,9,6,4,4,4
m,35,9,7,8,8,8
m,35,9,8,11,11,11
m,35,9,9,10,10,10
m,35,9,10,6,6,6
m,35,9,11,6,6,6
m,35,9,12,5,5,5
m,35,9,13,6,6,6
m,35,9,14,8,8,8
m,35,9,15,11,11,11
m,35,9,16,5,5,5
m,35,9,17,3,3,3
m,35,9,18,4,4,4
m,35,9,19,6,6,6
m,35,9,20,5,5,5
m,35,9,21,7,7,7
m,35,9,22,8,8,8
m,35,9,23,11,11,11
m,35,9,24,4,4,4
m,35,9,25,2,2,2
m,35,9,26,7,7,7
m,35,9,27,11,11,11
m,35,9,28,5,5,5
m,35,9,29,9,9,9
m,35,9,30,5,5,5
m,35,9,31,10,10,10
m,35,9,32,5,5,5
m,35,9,33,12,12,12
m,35,9,34,74,74,74
m,35,9,35,2105,2105,2105
m,35,10,1,1,1,1
m,35,10,2,6,6,6
m,35,10,3,3,3,3
m,35,10,4,12,12,12
m,35,10,5,13,13,13
m,35,10,6,5,5,5
m,35,10,7,4,4,4
m,35,10,8,7,7,7
m,35,10,9,7,7,7
m,35,10,10,11,11,11
m,35,10,11,6,6,6
m,35,10,12,7,7,7
m,35,10,13,4,4,4
m,35,10,14,6,6,6
m,35,10,15,5,5,5
m,35,10,16,5,5,5
m,35,10,17,7,7,7
m,35,10,18,5,5,5
m,35,10,19,8,8,8
m,35,10,20,11,11,11
m,35,10,21,6,6,6
m,35,10,22,3,3,3
m,35,10,23,4,4,4
m,35,10,24,9,9,9
m,35,10,25,8,8,8
m,35,10,26,7,7,7
m,35,10,27,11,11,11
m,35,10,28,4,4,4
m,35,10,29,11,11,11
m,35,10,30,6,6,6
m,35,10,31,9,9,9
m,35,10,32,10,10,10
m,35,10,33,13,13,13
m,35,10,34,77,77,77
m,35,10,35,2126,2126,2126
m,35,11,1,1,1,1
m,35,11,2,3,3,3
m,35,11,3,4,4,4
m,35,11,4,9,9,9
m,35,11,5,9,9,9
m,35,11,6,7,7,7
m,35,11,7,5,5,5
m,35,11,8,5,5,5
m,35,11,9,10,10,10
m,35,11,10,8,8,8
m,35,11,11,11,11,11
m,35,11,12,7,7,7
m,35,11,13,14,14,14
m,35,11,14,6,6,6
m,35,11,15,9,9,9
m,35,11,16,2,2,2
m,35,11,17,5,5,5
m,35,11,18,8,8,8
m,35,11,19,6,6,6
m,35,11,20,7,7,7
m,35,11,21,3,3,3
m,35,11,22,5,5,5
m,35,11,23,9,9,9
m,35,11,24,6,6,6
m,35,11,25,9,9,9
m,35,11,26,5,5,5
m,35,11,27,6,6,6
m,35,11,28,2,2,2
m,35,11,29,3,3,3
m,35,11,30,10,10,10
m,35,11,31,3,3,3
m,35,11,32,10,10,10
m,35,11,33,10,10,10
m,35,11,34,83,83,83
m,35,11,35,2122,2122,2122
m,35,12,2,2,2,2
m,35,12,3,2,2,2
m,35,12,4,12,12,12
m,35,12,5,9,9,9
m,35,12,6,4,4,4
m,35,12,7,10,10,10
m,35,12,8,9,9,9
m,35,12,9,6,6,6
m,35,12,10,9,9,9
m,35,12,11,7,7,7
m,35,12,12,4,4,4
m,35,12,13,4,4,4
m,35,12,14,6,6,6
m,35,12,15,14,14,14
m,35,12,16,7,7,7
m,35,12,17,6,6,6
m,35,12,18,12,12,12
m,35,12,19,2,2,2
m,35,12,20,6,6,6
m,35,12,21,4,4,4
m,35,12,22,3,3,3
m,35,12,23,7,7,7
m,35,12,24,6,6,6
m,35,12,25,4,4,4
m,35,12,26,10,10,10
m,35,12,27,7,7,7
m,35,12,28,11,11,11
m,35,12,29,5,5,5
m,35,12,30,6,6,6
m,35,12,31,10,10,10
m,35,12,32,20,20,20
m,35,12,33,16,16,16
